iter	Passed	Remaining
0	0	36
1	0	31
2	0	29
3	1	27
4	1	26
5	1	26
6	2	26
7	2	27
8	2	27
9	3	27
10	3	27
11	3	27
12	4	26
13	4	27
14	4	27
15	5	26
16	5	26
17	5	26
18	6	26
19	6	26
20	6	25
21	7	25
22	7	25
23	8	25
24	8	25
25	8	24
26	9	24
27	9	24
28	9	23
29	10	23
30	10	23
31	10	22
32	10	22
33	11	21
34	11	21
35	12	21
36	12	21
37	12	21
38	13	20
39	13	20
40	14	20
41	14	19
42	14	19
43	15	19
44	15	18
45	15	18
46	16	18
47	16	18
48	17	17
49	17	17
50	18	17
51	18	16
52	18	16
53	19	16
54	19	15
55	19	15
56	20	15
57	20	14
58	21	14
59	21	14
60	21	14
61	22	13
62	22	13
63	23	13
64	23	12
65	24	12
66	24	12
67	25	11
68	25	11
69	26	11
70	26	10
71	26	10
72	27	10
73	27	9
74	27	9
75	28	8
76	28	8
77	29	8
78	29	7
79	29	7
80	30	7
81	30	6
82	31	6
83	31	6
84	32	5
85	32	5
86	32	4
87	33	4
88	33	4
89	34	3
90	34	3
91	35	3
92	35	2
93	36	2
94	36	1
95	36	1
96	37	1
97	37	0
98	38	0
99	38	0
